,id,text,agg_bert_row,answer_length,x_position,y_position,distance
0,1,Radical ideas ,30,14,4.7824616,-4.3193297,1
1,2,No judgement,28,12,-3.1429856,5.4115305,1
2,3,speed dating,10,12,7.623133,0.7411139,1
3,4,Make multiple ideas,4,19,4.1027985,-3.0075033,1
4,5,Yes and,22,7,-0.35959816,-3.8841069,1
5,6,social interaction ,26,19,-3.2215207,-0.18628117,1
6,7,Quantity over quality ,12,22,4.6406846,3.972547,1
7,8,Encourage wild ideas,9,20,3.2910695,-5.79276,1
8,9,Be visual,20,9,-5.0928764,-3.6677094,1
9,10,Encourage wild ideas,9,20,3.2910688,-5.7927604,1
10,11,one conversation at a time,31,26,-3.0250838,0.5728287,1
11,12,Be visual ,20,10,-5.0670786,-4.388991,1
12,13,Stay focused on topic,6,21,-0.87727606,-1.3987119,1
13,14,Stay on topics,6,14,-1.2593454,-1.6870719,1
14,15,dont judge the idea,15,19,2.7300513,0.6067758,1
15,16,Defer judgement,14,15,-1.5891469,5.2904367,1
16,17,include all wild ideas too,9,26,4.055019,-6.6972322,1
17,18,Don't judge other people's ideas,15,32,2.4265277,0.67549044,1
18,19,No one should be able to say that's my idea,0,43,3.2082815,-0.29452494,1
19,20,"Defer judgement on ideas, DONT judge them too quickly ",16,54,-0.2195254,3.6519077,1
20,21,"Know your users, they are not u",7,31,-1.0957683,-6.8442807,1
21,22,Go for quantity ,19,16,5.202354,2.9187639,1
22,23,Users are not you,7,17,-1.279142,-7.0007205,1
23,24,be visual,20,9,-4.4518604,-4.149558,1
24,25,"Dont hate, just come up with ideas dont worry about quality of them yet",32,71,4.7180276,0.079002246,1
25,26,Defer Judgement,14,15,-1.870264,5.98351,1
26,27,Embrace wild ideas,9,18,4.343353,-6.038003,1
27,28,Defer judgement,14,15,-0.9448372,5.84143,1
28,29,Quantity over quality,12,21,4.62565,3.9849887,1
29,30,Be visual,20,9,-5.1913486,-4.2395067,1
30,31,Stay focused on the topic,6,25,-0.8359811,-1.3798323,1
31,32,defer judgement,14,15,-1.4544209,5.913945,1
32,33,Generate a lot of ideas,4,23,4.0701957,-3.1641352,1
33,34,"make sure you talk to the target audience first, and see what they want",8,71,-0.14877097,0.7925089,1
