,id,text,agg_bert_row,answer_length,x_position,y_position
0,1,Radical ideas ,0,14,-0.023422178,-1.2214375
1,2,No judgement,3,12,6.231635,2.9730217
2,3,speed dating,1,12,5.062632,-0.3295535
3,4,Make multiple ideas,0,19,-1.3633645,-0.4665826
4,5,Yes and,1,7,-4.6727705,-2.6728172
5,6,social interaction ,1,19,-2.758316,5.05766
6,7,Quantity over quality ,1,22,-6.7451673,-1.1865003
7,8,Encourage wild ideas,0,20,-0.9056403,-2.8595548
8,9,Be visual,2,9,4.7086096,-4.469956
9,10,Encourage wild ideas,0,20,-1.3250644,-3.0205383
10,11,one conversation at a time,1,26,-3.2848969,5.631388
11,12,Be visual ,2,10,4.0980506,-4.327397
12,13,Stay focused on topic,1,21,-5.01135,2.7194793
13,14,Stay on topics,1,14,-4.876343,3.248208
14,15,dont judge the idea,0,19,2.781262,1.1093363
15,16,Defer judgement,3,15,7.3973684,4.139417
16,17,include all wild ideas too,0,26,-2.4332073,-3.2914028
17,18,Don't judge other people's ideas,0,32,2.9764163,1.3723485
18,19,No one should be able to say that's my idea,0,43,2.0721624,0.29594126
19,20,"Defer judgement on ideas, DONT judge them too quickly ",3,54,4.3267493,2.76014
20,21,"Know your users, they are not u",1,31,1.5265578,5.595546
21,22,Go for quantity ,1,16,-5.920288,-2.1167796
22,23,Users are not you,1,17,1.787491,5.6789393
23,24,be visual,2,9,4.431,-5.1359386
24,25,"Dont hate, just come up with ideas dont worry about quality of them yet",0,71,1.4307524,2.0889597
25,26,Defer Judgement,3,15,6.613382,5.108277
26,27,Embrace wild ideas,0,18,-1.7879313,-3.5993326
27,28,Defer judgement,3,15,6.5079184,4.1588717
28,29,Quantity over quality,1,21,-6.7465625,-1.1862893
29,30,Be visual,2,9,3.931554,-4.5493917
30,31,Stay focused on the topic,1,25,-4.986699,2.6673567
31,32,defer judgement,3,15,7.200967,4.5869308
32,33,Generate a lot of ideas,0,23,-1.3290447,-0.66885465
33,34,"make sure you talk to the target audience first, and see what they want",1,71,-1.0568825,4.1090665
34,35,Dont shoot down others ideas,0,28,0.6089053,0.47816458
35,36,defer judgement ,3,16,6.3767905,4.411844
36,37,"Know thy users, for they are not you",1,36,1.3576499,5.6302037
37,38,You should encourage wild ideas,0,31,-1.454821,-3.7554042
38,39,Go for quantity,1,15,-5.9208655,-2.1162763
39,40,Encourage wild ideas,0,20,-0.70384943,-3.073932
40,41,Defer judgement,3,15,6.8840456,4.7213283
41,42,Diversity of ideas,0,18,0.6960641,-1.6030662
42,43,Come up with as many ideas as possible,0,38,-2.5702798,0.018885942
43,44,"Defer judgement means coming up with ideas, not hating on any of them yet.",3,74,7.2440605,3.1777735
44,45,Stay focused on topic,1,21,-5.0108714,2.718294
45,46,Defer judgment,3,14,7.443495,5.1315417
46,47,Encourage wild ideas,0,20,-0.9686199,-3.4646895
47,48,Stay focused on topic,1,21,-5.0091124,2.721496
